style,image_id_1,image_id_2,similarity,flag
Brutalism architecture,ARC_0008,ARC_0016,0.717,MODERATE_SIMILARITY
Brutalism architecture,ARC_0008,ARC_0017,0.721,MODERATE_SIMILARITY
Brutalism architecture,ARC_0008,ARC_0018,0.7347,MODERATE_SIMILARITY
Brutalism architecture,ARC_0008,ARC_0020,0.7319,MODERATE_SIMILARITY
Brutalism architecture,ARC_0008,ARC_0021,0.7383,MODERATE_SIMILARITY
Brutalism architecture,ARC_0008,ARC_0027,0.7034,MODERATE_SIMILARITY
Brutalism architecture,ARC_0009,ARC_0013,0.7437,MODERATE_SIMILARITY
Brutalism architecture,ARC_0009,ARC_0014,0.7026,MODERATE_SIMILARITY
Brutalism architecture,ARC_0009,ARC_0016,0.7535,HIGH_SIMILARITY
Brutalism architecture,ARC_0009,ARC_0017,0.7956,HIGH_SIMILARITY
Brutalism architecture,ARC_0009,ARC_0018,0.7489,MODERATE_SIMILARITY
Brutalism architecture,ARC_0009,ARC_0020,0.7378,MODERATE_SIMILARITY
Brutalism architecture,ARC_0009,ARC_0021,0.7514,HIGH_SIMILARITY
Brutalism architecture,ARC_0009,ARC_0026,0.7337,MODERATE_SIMILARITY
Brutalism architecture,ARC_0009,ARC_0027,0.7189,MODERATE_SIMILARITY
Brutalism architecture,ARC_0009,ARC_0028,0.7401,MODERATE_SIMILARITY
Brutalism architecture,ARC_0010,ARC_0012,0.7663,HIGH_SIMILARITY
Brutalism architecture,ARC_0010,ARC_0013,0.7275,MODERATE_SIMILARITY
Brutalism architecture,ARC_0010,ARC_0014,0.8059,HIGH_SIMILARITY
Brutalism architecture,ARC_0010,ARC_0015,0.7675,HIGH_SIMILARITY
Brutalism architecture,ARC_0010,ARC_0016,0.7402,MODERATE_SIMILARITY
Brutalism architecture,ARC_0010,ARC_0017,0.7272,MODERATE_SIMILARITY
Brutalism architecture,ARC_0010,ARC_0018,0.731,MODERATE_SIMILARITY
Brutalism architecture,ARC_0010,ARC_0020,0.8223,HIGH_SIMILARITY
Brutalism architecture,ARC_0010,ARC_0021,0.7871,HIGH_SIMILARITY
Brutalism architecture,ARC_0010,ARC_0023,0.712,MODERATE_SIMILARITY
Brutalism architecture,ARC_0010,ARC_0024,0.8064,HIGH_SIMILARITY
Brutalism architecture,ARC_0010,ARC_0025,0.7776,HIGH_SIMILARITY
Brutalism architecture,ARC_0010,ARC_0026,0.7982,HIGH_SIMILARITY
Brutalism architecture,ARC_0010,ARC_0027,0.7294,MODERATE_SIMILARITY
Brutalism architecture,ARC_0010,ARC_0028,0.7382,MODERATE_SIMILARITY
Brutalism architecture,ARC_0011,ARC_0014,0.7017,MODERATE_SIMILARITY
Brutalism architecture,ARC_0011,ARC_0015,0.8216,HIGH_SIMILARITY
Brutalism architecture,ARC_0011,ARC_0019,0.7834,HIGH_SIMILARITY
Brutalism architecture,ARC_0011,ARC_0025,0.7117,MODERATE_SIMILARITY
Brutalism architecture,ARC_0011,ARC_0027,0.7417,MODERATE_SIMILARITY
Brutalism architecture,ARC_0012,ARC_0013,0.8018,HIGH_SIMILARITY
Brutalism architecture,ARC_0012,ARC_0014,0.8814,VERY_HIGH_SIMILARITY
Brutalism architecture,ARC_0012,ARC_0015,0.7417,MODERATE_SIMILARITY
Brutalism architecture,ARC_0012,ARC_0016,0.7686,HIGH_SIMILARITY
Brutalism architecture,ARC_0012,ARC_0017,0.7386,MODERATE_SIMILARITY
Brutalism architecture,ARC_0012,ARC_0018,0.7812,HIGH_SIMILARITY
Brutalism architecture,ARC_0012,ARC_0020,0.7687,HIGH_SIMILARITY
Brutalism architecture,ARC_0012,ARC_0021,0.7533,HIGH_SIMILARITY
Brutalism architecture,ARC_0012,ARC_0024,0.8007,HIGH_SIMILARITY
Brutalism architecture,ARC_0012,ARC_0025,0.7562,HIGH_SIMILARITY
Brutalism architecture,ARC_0012,ARC_0026,0.7433,MODERATE_SIMILARITY
Brutalism architecture,ARC_0012,ARC_0027,0.7134,MODERATE_SIMILARITY
Brutalism architecture,ARC_0012,ARC_0028,0.7592,HIGH_SIMILARITY
Brutalism architecture,ARC_0013,ARC_0014,0.8066,HIGH_SIMILARITY
Brutalism architecture,ARC_0013,ARC_0015,0.7431,MODERATE_SIMILARITY
Brutalism architecture,ARC_0013,ARC_0016,0.7399,MODERATE_SIMILARITY
Brutalism architecture,ARC_0013,ARC_0017,0.7346,MODERATE_SIMILARITY
Brutalism architecture,ARC_0013,ARC_0018,0.7412,MODERATE_SIMILARITY
Brutalism architecture,ARC_0013,ARC_0020,0.7722,HIGH_SIMILARITY
Brutalism architecture,ARC_0013,ARC_0021,0.7802,HIGH_SIMILARITY
Brutalism architecture,ARC_0013,ARC_0024,0.7409,MODERATE_SIMILARITY
Brutalism architecture,ARC_0013,ARC_0025,0.7669,HIGH_SIMILARITY
Brutalism architecture,ARC_0013,ARC_0026,0.7227,MODERATE_SIMILARITY
Brutalism architecture,ARC_0013,ARC_0028,0.7632,HIGH_SIMILARITY
Brutalism architecture,ARC_0014,ARC_0015,0.7861,HIGH_SIMILARITY
Brutalism architecture,ARC_0014,ARC_0016,0.7609,HIGH_SIMILARITY
Brutalism architecture,ARC_0014,ARC_0017,0.713,MODERATE_SIMILARITY
Brutalism architecture,ARC_0014,ARC_0018,0.7539,HIGH_SIMILARITY
Brutalism architecture,ARC_0014,ARC_0020,0.8297,HIGH_SIMILARITY
Brutalism architecture,ARC_0014,ARC_0021,0.8156,HIGH_SIMILARITY
Brutalism architecture,ARC_0014,ARC_0023,0.7569,HIGH_SIMILARITY
Brutalism architecture,ARC_0014,ARC_0024,0.7854,HIGH_SIMILARITY
Brutalism architecture,ARC_0014,ARC_0025,0.7809,HIGH_SIMILARITY
Brutalism architecture,ARC_0014,ARC_0026,0.8075,HIGH_SIMILARITY
Brutalism architecture,ARC_0014,ARC_0027,0.7451,MODERATE_SIMILARITY
Brutalism architecture,ARC_0014,ARC_0028,0.8021,HIGH_SIMILARITY
